label,x_m,y_m
3,7.477031925766684,4.638678515686581
4,0.6720368064765692,0.31180539981198585
2,9.142783234641314,3.732828564774791
0,4.454972957416659,6.4719174559090025
0,6.177260976316667,5.22870917336563
2,7.696610470985421,3.5698333369225654
0,0.07123458151500395,6.165283835176973
4,3.182632334978109,5.844773932328086
0,4.07308657062697,2.857618344273546
3,9.429950556282327,1.994664894974024
4,7.4870367465158445,2.6985444478344194
1,8.702724074467032,0.35142388835242233
2,2.397896555859149,1.1965389194282645
3,0.42027879794939826,5.775871511880363
3,4.098769857098316,4.657956318570723
1,4.38063929111141,2.5063078718041982
3,5.3218756392387325,0.1855407541373113
2,6.2155411921662775,7.107254577969085
3,3.31856370221558,2.652874659415991
2,8.433651718337348,7.676559397281979
2,4.022781374942765,1.4893642301149814
3,4.041984201030885,5.798613810028157
3,3.403509033697265,5.059700979826767
0,9.359710415547713,7.083535731090824
4,4.1000972239378015,1.078101964645679
4,6.6574375804826955,1.9498428900112499
3,8.87902473752001,2.6273705939677123
4,5.956823195413125,2.5650965076388053
1,4.78684824326293,0.3870070822434002
3,4.801558688235524,2.878888442656362
2,8.800068362616681,2.7323943139188493
3,4.756784533499059,3.371427103035753
1,8.062404410679786,1.1015559452218442
1,5.756573862157203,2.910585802495138
4,5.802282579620233,2.5044065493633187
0,2.0120055331263407,2.0016510749213685
3,0.0767640715514506,1.7488127797175537
4,9.669049101730291,1.3069580899934676
0,2.949057007513508,1.590812782650998
0,4.158219203801195,1.0614078790324273
2,1.5818531987082152,2.007199674371493
3,6.599113342479668,7.438610571627729
1,0.9630026618853882,3.268661715919528
0,5.041481732647903,4.100050407329512
2,8.081654959015715,4.919443910524731
0,1.463148973345133,7.199946849933312
2,1.6860804206208624,7.015995201445074
1,5.678697364198751,0.517605259382238
4,0.6287710409078839,1.4265198519946658
2,5.589825262069459,5.537134564020038
4,3.351193544248401,3.792147023929412
3,8.94373512495921,3.289263278284431
4,2.2430408538228486,2.0489951689646144
4,7.114762099882258,6.890529511404798
3,8.406998808642033,0.9599909002871394
3,6.308850800503487,4.51328572059379
0,8.21559308886462,7.830197811029621
3,6.642279390549177,5.600429782692163
1,9.641793367347331,4.918419033753131
2,0.21302429083199903,7.775697245729374
1,8.567976544757267,0.9210136322976972
0,4.687679184184375,2.1060646295794117
2,4.011157424259812,6.297042931082996
2,2.0594686324663183,2.5919152550326716
4,1.9272723005491688,1.0161755104253727
2,9.207664063380323,5.999727761416535
3,9.174664368456762,4.148575932659955
4,6.311300714044946,2.8355361498787666
1,7.2260030112924625,1.1253593219999232
3,2.6760718524664706,5.652972202228935
3,4.958272824770667,4.219194365790804
2,6.992256399800815,7.264201735048127
0,4.225543410253918,5.328806926841658
1,9.53550591686106,6.948639373850969
1,0.075671086420801,2.7425885901075038
4,6.412854424145329,1.7349901816604447
0,1.9084878246510184,3.8333555639872428
2,1.329762494742125,0.9818435657105979
2,6.752983684915716,4.54382576833986
0,8.147255608287033,1.993158022528715
4,2.420006495262601,3.031262970786888
0,2.6239481119390353,3.9783973410515383
0,8.451333426869212,1.347703678429113
2,6.815924083579532,0.2976978942834556
1,1.680878671115782,3.0735340539945657
4,3.9627058071306798,7.5471648797429
2,6.247115853066338,1.1326787421002305
0,5.952034863663041,6.045703956588172
2,9.718057211749937,6.438528753947928
0,4.631683948477356,7.723812102722863
4,4.663973087598734,2.5840486094455697
1,9.266362145864115,4.295071013635749
3,6.8650040407055934,5.915230064425599
1,9.18070091744024,6.892876952442003
3,5.395898740384718,3.1603018799820033
3,3.8203341284490024,4.564090865188153
0,8.536348629482225,4.502426636926202
4,2.816689318397918,5.252059057181588
0,3.587693549151437,7.151748242885604
4,3.1670068711656385,1.9455663123488591
0,1.481219715805464,2.3269803678513794
2,4.148110520188293,1.6229152409524756
2,8.604483481136624,5.911226236636883
3,6.075992616531154,4.986475317382931
2,1.302019349635547,6.000771511708053
1,1.6162044346408122,3.455284258874155
2,3.69222410710095,2.7748790146781683
0,4.95256254286709,6.975023487047943
2,7.7757883405563435,4.031209133049482
1,6.433613881010334,1.3705548389545488
3,7.679885427699023,7.02180176166374
1,7.784996961036913,5.150508241517064
3,0.526376058421304,7.550433178928609
2,8.688413937117547,2.4821181616565884
3,1.6500511718918454,2.135613886735955
0,4.463397747808817,0.16157428131514706
4,2.4800253818490017,4.910656512116082
2,5.63056082064999,6.185825219326807
0,7.46634532270545,6.589828371007257
2,2.7956489343001723,0.05280073106693006
0,2.206951046517297,7.828105541842613
4,2.2631000236379495,7.202550888432334
4,6.140149068404055,3.186022112809672
2,7.083383995509902,7.150897559299813
4,7.695299387643844,4.946497560549716
0,2.428500963269361,1.9301646673869444
1,8.01114638110268,4.410648751079026
4,1.1218437967915607,6.404836552720045
2,6.810800076274396,2.4190118002601917
3,7.463241456382218,1.6803933371891357
2,9.721883687785931,2.736140204303247
4,6.480658044733223,7.707679817224538
